name,n_features,train_time_s,roc_auc,average_precision,brier,threshold,accuracy,precision,recall,f1,fpr,warnings,tp,fp,tn,fn,balanced_threshold,high_recall_threshold,low_noise_threshold
history_only_gb_weighted,8,1.28,0.739619645871407,0.35494718908033657,0.20387072053655111,0.65,0.7795121951219512,0.30077787381158166,0.5201793721973094,0.38116100766703176,0.18155296229802514,1157,348,809,3647,321,0.65,0.275,0.7
change_aware_gb_weighted,54,18.18,0.8595820150120896,0.5661822920181578,0.14756521983298984,0.675,0.8593170731707317,0.4696261682242991,0.600896860986547,0.5272131147540984,0.10188509874326751,856,402,454,4002,267,0.675,0.25,0.675
change_aware_hist_gb_weighted,54,2.3,0.8630192105905811,0.5707855652308323,0.13589951948049686,0.65,0.8569756097560975,0.4631336405529954,0.600896860986547,0.5230969420949902,0.10457809694793536,868,402,466,3990,267,0.65,0.225,0.65
change_aware_rf_balanced,54,1.89,0.8544276473098196,0.5347871693492591,0.11897663311165203,0.55,0.8565853658536585,0.46108490566037735,0.5844544095665172,0.5154911008569545,0.10255834829443447,848,391,457,3999,278,0.55,0.225,0.575
logistic_change_aware_baseline,54,0.09,0.8492893812410602,0.523549680121168,0.15421518465512982,0.65,0.8569756097560975,0.463882618510158,0.6143497757847534,0.5286173633440514,0.10659784560143627,886,411,475,3981,258,0.65,0.275,0.675
change_aware_hist_gb_v2,54,0.86,0.8641463249363315,0.5659376603962938,0.1372352765478262,0.625,0.8515121951219512,0.4515789473684211,0.6412556053811659,0.5299567634342186,0.11692100538599641,950,429,521,3935,240,0.625,0.225,0.7
change_aware_voting_ensemble,54,17.14,0.8625844664857916,0.5662056912234884,0.13174630651063846,0.6,0.8520975609756097,0.4518918918918919,0.624813153961136,0.5244667503136763,0.11377917414721724,925,418,507,3949,251,0.6,0.225,0.625
change_aware_calibrated_hist_gb,54,1.55,0.861770663092104,0.5696670575580691,0.15676284129542528,0.65,0.8513170731707317,0.44994617868675996,0.624813153961136,0.523153942428035,0.11467684021543986,929,418,511,3945,251,0.65,0.3,0.675
change_aware_hist_gb_v3_monotone,54,0.97,0.8618241674784574,0.5715228736463174,0.1383669419409685,0.65,0.8520975609756097,0.4515778019586507,0.6203288490284006,0.5226700251889169,0.11310592459605028,919,415,504,3952,254,0.65,0.225,0.675
change_aware_calibrated_hist_gb_sigmoid,54,2.54,0.861907191526247,0.5730215688069055,0.1582946315069792,0.7,0.8669268292682927,0.4914361001317523,0.5575485799701047,0.5224089635854342,0.08662477558348294,759,373,386,4070,296,0.7,0.3,0.7
change_aware_stacking,54,40.83,0.8605050076080218,0.5667707982895575,0.16129926994151142,0.675,0.8519024390243902,0.4511930585683297,0.6218236173393124,0.5229415461973601,0.11355475763016158,922,416,506,3950,253,0.675,0.3,0.7
change_aware_plus_m13_gb_weighted,64,21.99,0.8595870467725617,0.5706916508000572,0.1478309683848721,0.725,0.8743414634146341,0.5178316690442225,0.5426008968609866,0.5299270072992701,0.07585278276481149,701,363,338,4118,306,0.725,0.25,0.725
change_aware_plus_m13_hist_gb,64,1.17,0.8647427562776244,0.571430666284748,0.13521806166494096,0.625,0.8505365853658536,0.4480171489817792,0.624813153961136,0.5218476903870163,0.11557450628366248,933,418,515,3941,251,0.625,0.225,0.65
