repository,n_total,n_failures,failure_rate,roc_auc,average_precision,f1,precision,recall,fpr
apache/commons-math,59,2,0.03389830508474576,0.2192982456140351,0.03182957393483709,0.0,0.0,0.0,0.017543859649122806
wtforms/wtforms,9,1,0.1111111111111111,0.25,0.14285714285714285,0.0,0.0,0.0,0.0
apache/commons-configuration,59,1,0.01694915254237288,0.3275862068965517,0.025,0.0,0.0,0.0,0.0
mapstruct/mapstruct,59,9,0.15254237288135594,0.39111111111111113,0.15126348163310074,0.0,0.0,0.0,0.1
buildpacks/pack,59,4,0.06779661016949153,0.44545454545454544,0.08093185550082102,0.0,0.0,0.0,0.0
elastic/elasticsearch,59,1,0.01694915254237288,0.5,0.03333333333333333,0.0,0.0,0.0,0.0
spotbugs/spotbugs,59,3,0.05084745762711865,0.5059523809523809,0.3709454796411318,0.5,1.0,0.3333333333333333,0.0
benoitc/gunicorn,59,3,0.05084745762711865,0.5416666666666667,0.15235690235690236,0.0,0.0,0.0,0.03571428571428571
psf/black,59,2,0.03389830508474576,0.5526315789473685,0.05397727272727273,0.0,0.0,0.0,0.03508771929824561
django/django,59,11,0.1864406779661017,0.5568181818181818,0.2592699466196478,0.2,0.2222222222222222,0.18181818181818182,0.14583333333333334
hazelcast/hazelcast,44,4,0.09090909090909091,0.5687499999999999,0.3512152777777778,0.3333333333333333,0.5,0.25,0.025
pypa/pip,59,10,0.1694915254237288,0.5755102040816327,0.22032324943946668,0.2631578947368421,0.17857142857142858,0.5,0.46938775510204084
apache/logging-log4j2,59,6,0.1016949152542373,0.5786163522012578,0.16798909151850328,0.0,0.0,0.0,0.018867924528301886
google/error-prone,59,2,0.03389830508474576,0.6140350877192983,0.06340579710144928,0.0,0.0,0.0,0.0
reactor/reactor-core,59,6,0.1016949152542373,0.6163522012578616,0.3125214165356895,0.36363636363636365,0.4,0.3333333333333333,0.05660377358490566
marshmallow-code/marshmallow,59,1,0.01694915254237288,0.6379310344827587,0.045454545454545456,0.0,0.0,0.0,0.0
docker/compose,59,9,0.15254237288135594,0.6399999999999999,0.27022225450905846,0.32,0.25,0.4444444444444444,0.24
diffplug/spotless,59,15,0.2542372881355932,0.6530303030303031,0.403856216294545,0.35294117647058826,0.3157894736842105,0.4,0.29545454545454547
adrienverge/yamllint,39,8,0.20512820512820512,0.6814516129032258,0.3290369352869353,0.4,0.2727272727272727,0.75,0.5161290322580645
docker-java/docker-java,59,6,0.1016949152542373,0.6981132075471698,0.1699294383588135,0.26666666666666666,0.16666666666666666,0.6666666666666666,0.37735849056603776
google/truth,59,4,0.06779661016949153,0.7045454545454546,0.1878968253968254,0.0,0.0,0.0,0.01818181818181818
google/auto,59,11,0.1864406779661017,0.7140151515151516,0.3054264830008537,0.3333333333333333,0.2631578947368421,0.45454545454545453,0.2916666666666667
resilience4j/resilience4j,59,20,0.3389830508474576,0.7153846153846154,0.587414265191792,0.5161290322580645,0.7272727272727273,0.4,0.07692307692307693
pallets/werkzeug,59,4,0.06779661016949153,0.7181818181818183,0.1620300751879699,0.0,0.0,0.0,0.01818181818181818
encode/starlette,59,19,0.3220338983050847,0.718421052631579,0.6529688903415078,0.5652173913043478,0.48148148148148145,0.6842105263157895,0.35
astral-sh/ruff,59,1,0.01694915254237288,0.7241379310344828,0.058823529411764705,0.0,0.0,0.0,0.017241379310344827
pallets/click,59,1,0.01694915254237288,0.7241379310344828,0.058823529411764705,0.0,0.0,0.0,0.034482758620689655
liquibase/liquibase,59,2,0.03389830508474576,0.7456140350877193,0.09126984126984126,0.0,0.0,0.0,0.05263157894736842
pypa/virtualenv,59,12,0.2033898305084746,0.7464539007092199,0.5209202109962758,0.56,0.5384615384615384,0.5833333333333334,0.1276595744680851
google/guava,59,3,0.05084745762711865,0.75,0.18452380952380953,0.0,0.0,0.0,0.03571428571428571
